NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
UHE FERREIRA GOMES JUSANTE;30511000;3;30;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;00536 - FERREIRAGOMES - Ferreira Gomes Energia S.A;FERREIRA GOMES-AP;0,8583;-51,1942;3;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
CAPTAÇÃO D''ÁGUA DA COSANPA;31645000;3;31;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BELÉM-PA;-1,455;-48,4017;0;31600000;RIO GUAMA;RHN;Ativo
FAZENDA MARINGA;31680000;3;31;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;TOMÉ-AÇU-PA;-3,1372;-48,0847;0;31650000;RIO CAPIM;RHN;Ativo
BADAJÓS;31700000;3;31;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SÃO DOMINGOS DO CAPIM-PA;-2,5128;-47,7681;0;31650000;RIO CAPIM;RHN;Ativo
FAZENDA RURAL ZEBU;32540000;3;32;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;PARAGOMINAS-PA;-3,3197;-46,8456;0;32300000;RIO GURUPI;RHN;Ativo
CAFEZAL;32550000;3;32;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;PARAGOMINAS-PA;-2,7717;-46,8028;0;32360000;RIO URAIM;RHN;Ativo
ALTO BONITO;32620000;3;32;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;VISEU-PA;-1,8006;-46,3161;0;32300000;RIO GURUPI;RHN;Ativo
BARRA DO CORDA;33250000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BARRA DO CORDA-MA;-5,5006;-45,2436;85;33200000;RIO MEARIM;RHN;Ativo
SANTA VITÓRIA;33260000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BARRA DO CORDA-MA;-5,1019;-44,9614;60;33200000;RIO MEARIM;RHN;Ativo
JOSELÂNDIA;33273000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JOSELÂNDIA-MA;-4,9253;-44,6181;0;33250000;RIO FLORES;RHN;Ativo
PEDREIRAS II;33281000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;PEDREIRAS-MA;-4,57;-44,6106;22;33200000;RIO MEARIM;RHN;Ativo
SÃO LUIZ GONZAGA;33286000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SÃO LUÍS GONZAGA DO MARANHÃO-MA;-4,37;-44,6758;18;33200000;RIO MEARIM;RHN;Ativo
BACABAL;33290000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BACABAL-MA;-4,2194;-44,7653;9;33200000;RIO MEARIM;RHN;Ativo
GRAJAU II;33321000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;GRAJAU-MA;-5,8222;-46,1422;148;33270000;RIO GRAJAU;RHN;Ativo
ARATOÍ GRANDE;33380000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BELA VISTA DO MARANHÃO-MA;-3,7722;-45,2181;37;33270000;RIO GRAJAU;RHN;Ativo
MIRADOR;33420000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;MIRADOR-MA;-6,3708;-44,3603;174;33400000;RIO ITAPECURU;RHN;Ativo
COLINAS;33480000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;COLINAS-MA;-6,0208;-44,2486;122;33400000;RIO ITAPECURU;RHN;Ativo
MONTEVIDÉU;33530000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;GOVERNADOR EUGENIO BARROS-MA;-5,3372;-43,8844;93;33400000;RIO ITAPECURU;RHN;Ativo
CAXIAS;33550000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CAXIAS-MA;-4,865;-43,3675;49;33400000;RIO ITAPECURU;RHN;Ativo
CODÓ;33590000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CODÓ-MA;-4,4583;-43,875;35;33400000;RIO ITAPECURU;RHN;Ativo
COROATÁ;33630000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;COROATA-MA;-4,1258;-44,1297;34;33400000;RIO ITAPECURU;RHN;Ativo
PERITORÓ II;33661000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;PIRAPEMAS-MA;-3,7064;-44,2872;62;33480000;RIO PIRITORÓ;RHN;Ativo
